Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs
3,1,"25c Pleasant Street Onehunga, Auckland",758,990000,-36.9198143,174.7722528,7007820,33,9,18,21,21,6,Onehunga
4,2,"40 Rushgreen Avenue Pahurehure, Auckland",727,920000,-37.0648902,174.9286899,7009998,48,21,18,18,39,33,Pahurehure
2,1,"A/18a Holly Street Avondale, Auckland",59,600000,-36.8900779,174.692387,7004387,57,42,33,21,21,21,Avondale
4,2,"26A Holly Street, Auckland",260 m²,1025000,-36.8896313,174.6924848,7004387,57,42,33,21,21,21,Avondale
3,2,"21b Marr Road Manurewa, Auckland",126,630000,-37.0152515,174.880488,7009541,60,36,30,9,18,6,Manurewa
3,1,"13 Sandringham Road Mount Eden, Auckland",615,1575000,-36.8727657,174.7460271,7005166,27,75,33,24,15,18,Mount Eden
4,2,"40 Goodwood Drive Goodwood Heights, Auckland",756,1050000,-36.9931422,174.9036367,7009731,75,45,42,27,39,66,Goodwood Heights
4,1,"50 Arthur Street Manurewa, Auckland",3609,1380000,-37.0172546,174.9074152,7009861,63,27,39,30,6,24,Manurewa
3,2,"3 Manuka Road Oneroa, Auckland",809,830000,-36.7867738,175.0115024,7003341,18,6,9,21,21,42,Oneroa
3,1,"160 Gowing Drive Meadowbank, Auckland",431,940000,-36.8688531,174.8403044,7006318,48,45,27,30,27,21,Meadowbank
4,2,"4 Helios Place Titirangi, Auckland",3648,1520000,-36.9507221,174.6413403,7007223,51,21,15,39,27,27,Titirangi
4,3,"1 Landing Road Titirangi, Auckland",3177,1400000,-36.9499586,174.6429702,7007223,51,21,15,39,27,27,Titirangi
5,3,"29b Rukutai Street Orakei, Auckland",545,1725000,-36.8581658,174.8281687,7006178,39,39,33,24,27,27,Orakei
4,2,"44 Godden Crescent, Auckland",420 m²,2150000,-36.8587685,174.8284616,7006178,39,39,33,24,27,27,Mission Bay
3,2,"20 Eversleigh Road Belmont, Auckland",481,1325000,-36.8022939,174.7855133,7003315,36,9,12,18,21,12,Belmont
3,1,"34a Ascot Avenue Remuera, Auckland",279,1220000,-36.8839242,174.8026025,7005999,27,21,15,21,18,24,Remuera
3,1,"2/4 Nerissa Place Randwick Park, Auckland",120,630000,-37.0230935,174.9208854,7009958,54,21,21,15,9,9,Randwick Park
4,2,"31 Rapallo Place Farm Cove, Auckland",1037,1400000,-36.8949914,174.8937769,7006737,54,21,30,27,21,24,Farm Cove
4,3,"37b Kelvin Road Remuera, Auckland",202,1340000,-36.8763644,174.8190155,7006075,54,12,27,30,24,45,Remuera
4,2,"46 Waiatarua Road Remuera, Auckland",1031,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,Remuera
4,2,"46 Waiatarua Road Remuera, Auckland",1031,2450000,-36.8762123,174.8199745,7006075,54,12,27,30,24,45,Remuera
3,1,"6 Dorendia Place Clendon Park, Auckland",602,530000,-37.0252348,174.8630015,7009471,105,48,42,27,30,12,Clendon Park
4,2,"63 John Street Pukekohe, Auckland",810,730000,-37.2133962,174.9054744,7010539,48,15,12,27,27,36,Pukekohe
3,1,"70 Rimu Street New Lynn, Auckland",475,810000,-36.903786,174.6686326,7004296,30,21,27,24,12,21,New Lynn
3,1,"52 Easton Park Parade Glenfield, Auckland",736,1170000,-36.7780575,174.7153418,7002617,45,42,30,18,15,30,Glenfield
3,1,"7a Eulogy Place Randwick Park, Auckland",110,540000,-37.0289075,174.9155234,7009880,54,18,18,18,9,6,Randwick Park
4,1,"6/25 Solveig Place Randwick Park, Auckland",99,485000,-37.0297993,174.911026,7009882,93,66,39,24,18,9,Randwick Park
3,2,"2/13a Easter Parade Glen Eden, Auckland",153,790000,-36.9208765,174.6304169,7007125,72,24,30,33,33,51,Glen Eden
5,3,"5a Abbotts Way Remuera, Auckland",245,1240000,-36.8888684,174.8125681,7006106,57,42,45,42,9,30,Remuera
4,1,"4 Marua Road, Auckland",2567 m²,2725000,-36.889369,174.813201,7006106,57,42,45,42,9,30,Ellerslie
3,1,"966 Kaipara Flats Road Kaipara Flats, Auckland",1500,680000,-36.4065732,174.5450829,7001269,54,9,18,30,30,33,Kaipara Flats
3,2,"37 Jaemont Avenue Te Atatu South, Auckland",885,860000,-36.8646972,174.6521841,7004112,33,30,15,33,27,21,Te Atatu South
4,3,"10 Sussex Street Grey Lynn, Auckland",480,2275000,-36.8625187,174.7474227,7005129,21,30,27,24,18,21,Grey Lynn
4,2,"50b Camp Road Mount Wellington, Auckland",377,850000,-36.9314956,174.8467009,7008343,51,57,42,27,30,39,Mount Wellington
3,1,"68 Walters Road Mount Wellington, Auckland",688,780000,-36.931371,174.8475282,7008343,51,57,42,27,30,39,Mount Wellington
6,3,"32 Red Hills Road Massey, Auckland",10557,1945000,-36.8395657,174.5907986,7003463,42,24,15,30,27,33,Massey
2,1,"41 Ballarat Street Ellerslie, Auckland",405,1000000,-36.8950171,174.8242295,7006236,42,15,48,39,12,24,Ellerslie
3,2,"17a Foxlaw Street Randwick Park, Auckland",561,710000,-37.0223681,174.9209532,7009955,87,24,33,39,21,27,Randwick Park
4,2,"30 Kuaka Drive Takanini, Auckland",255,810000,-37.0414044,174.9349884,7010021,75,72,66,33,15,15,Takanini
5,3,"144 Arran Point Parade Orewa, Auckland",519,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa
4,2,"106 Godfrey Drive Orewa, Auckland",650,590000,-36.5908865,174.66932,7001409,0,0,0,0,0,0,Orewa
4,2,"135 Godfrey Drive Orewa, Auckland",602,1075000,-36.5908865,174.66932,7001409,0,0,0,0,0,0,Orewa
5,3,"17 Davey Crescent Orewa, Auckland",650,1250000,-36.5903256,174.6681286,7001409,0,0,0,0,0,0,Orewa
5,3,"32 Cassidy Drive Orewa, Auckland",519,1225000,-36.5937888,174.6739169,7001409,0,0,0,0,0,0,Orewa
5,3,"130 Arran Point Parade Orewa, Auckland",522,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa
5,3,"7 Maka Terrace Orewa, Auckland",651,1260000,-36.5936147,174.6773247,7001409,0,0,0,0,0,0,Orewa
4,2,"111 Godfrey Drive Orewa, Auckland",559,1050000,-36.5908865,174.66932,7001409,0,0,0,0,0,0,Orewa
5,3,"16 Gospel Heights (arrowsmith Dr) Flat Bush, Auckland",420,1200000,-36.9861529,174.9072372,7009106,45,48,30,18,24,24,Flat Bush
3,2,"25 Porter Crescent Helensville, Auckland",472,720000,-36.6774692,174.4522649,7001739,33,24,9,15,24,48,Helensville
3,1,"14 Stainton Place Otara, Auckland",1067,580000,-36.9563698,174.8892654,7008844,45,27,12,15,15,15,Otara
3,1,"20 Blampied Road Otara, Auckland",726,570000,-36.9558048,174.8879416,7008844,45,27,12,15,15,15,Otara
3,2,"627b Manukau Road Epsom, Auckland",251,1300000,-36.9047954,174.7739675,7007786,21,15,18,12,18,18,Epsom
5,2,"1/43 Shanaway Rise Hillcrest, Auckland",220,1225000,-36.8001663,174.7338294,7002953,42,33,21,21,6,18,Hillcrest
5,3,"18 Coolaghy Drive Flat Bush, Auckland",420,1250000,-36.9717771,174.918647,7009239,39,21,30,18,9,12,Flat Bush
4,2,"30 Glenelg Road Red Beach, Auckland",1467,970000,-36.6109852,174.7127236,7001568,24,12,15,12,18,42,Red Beach
4,1,"40 Freeland Avenue Mount Roskill, Auckland",701,1000000,-36.9157998,174.7343942,7007615,42,33,24,18,12,21,Mount Roskill
4,2,"121 Harbourside Drive Karaka, Auckland",826,980000,-37.0678773,174.9257112,7009995,60,21,48,39,27,30,Karaka
4,2,"157 Harbourside Drive Karaka, Auckland",743,990000,-37.0650699,174.9247589,7009995,60,21,48,39,27,30,Karaka
3,1,"56a Orion Street Papakura, Auckland",272,680000,-37.0718788,174.9563186,7010203,99,48,30,21,24,15,Papakura
6,2,"58a Coxhead Road Manurewa, Auckland",672,1030000,-37.0311051,174.8925232,7009684,57,51,18,15,21,15,Manurewa
3,2,"31 West Lynn Road Titirangi, Auckland",772,920000,-36.9218767,174.6646886,7007317,57,15,24,27,30,36,Titirangi
3,1,"79 Wellington Street Pukekohe, Auckland",318,600000,-37.2096583,174.8966255,7010504,45,42,18,33,27,33,Pukekohe
4,2,"28 Weldene Avenue Glenfield, Auckland",895,920000,-36.7742099,174.7252303,7002758,18,18,18,15,12,24,Glenfield
9,5,"54 Central Avenue Papatoetoe, Auckland",2028,1350000,-36.9754883,174.8644449,7008648,39,27,21,15,21,21,Papatoetoe
3,1,"199 Balmoral Road Mount Eden, Auckland",371,900000,-36.8864339,174.7458609,7005199,57,33,36,30,18,15,Mount Eden
2,2,"312-1 Kimiora Street Three Kings, Auckland",93,920000,-36.9042822,174.7588224,7005473,0,12,0,0,0,0,Three Kings
3,2,"34 Kimiora Street Three Kings, Auckland",286,1340000,-36.9036375,174.7584188,7005473,0,12,0,0,0,0,Three Kings
3,1,"6 Larch Street Avondale, Auckland",429,850000,-36.9000071,174.6938496,7004415,33,27,30,15,21,21,Avondale
3,1,"58 Arodella Crescent Ranui, Auckland",623,630000,-36.8574435,174.6001268,7003539,60,30,18,15,15,27,Ranui
6,2,"264 Sunset Road Sunnynook, Auckland",479,1325000,-36.7502525,174.7350724,7002875,51,48,45,27,30,24,Windsor Park
3,2,"53a Landscape Road Mount Eden, Auckland",113,1140000,-36.8980978,174.7566046,7005463,30,72,24,18,21,15,Mount Eden
4,2,"15a Forrest Hill Road Milford, Auckland",469,1745000,-36.7781846,174.7508405,7003086,63,36,42,30,30,18,Milford
3,1,"35 Grand View Road Leigh, Auckland",898,740000,-36.2986271,174.7986484,7001158,18,6,9,12,27,48,Leigh
3,2,"10 Barrister Avenue Mount Roskill, Auckland",370,1120000,-36.906798,174.7543779,7005250,63,18,21,12,6,18,Mount Roskill
3,2,"4/61 Birdwood Avenue Papatoetoe, Auckland",120,580000,-36.9779943,174.8681825,7008656,42,42,30,24,21,21,Papatoetoe
3,1,"66d Woodglen Road Glen Eden, Auckland",422,670000,-36.915067,174.6456471,7007252,48,9,15,30,12,21,Glen Eden
4,3,"68 Glen Marine Parade Glendene, Auckland",868,800000,-36.8820848,174.6567039,7004220,45,27,33,24,15,30,Glendene
3,1,"7 Le Havre Place Takanini, Auckland",880,580000,-37.039314,174.921063,7009970,33,51,24,15,12,24,Takanini
4,2,"152 Grey Street Onehunga, Auckland",690,1175000,-36.9175628,174.7935673,7007983,66,33,48,36,27,33,Onehunga
4,3,"1 Taupinga Way Takanini, Auckland",238,800000,-37.0443323,174.927343,7010024,60,66,72,27,21,9,Takanini
4,2,"60 Hill Street Onehunga, Auckland",569,1325000,-36.920718,174.7803187,7007906,21,21,15,18,27,27,Onehunga
4,2,"181 Drury Hills Road Drury, Auckland",8000,1510000,-37.1162369,174.978964,7010270,39,27,18,27,45,69,Drury
4,3,"115 Macwhinney Drive Drury, Auckland",8129,1620000,-37.1206153,174.9833398,7010270,39,27,18,27,45,69,Drury
3,1,"34 Queensway Three Kings, Auckland",447,1360000,-36.9069089,174.7602285,7005474,51,36,18,24,27,36,Three Kings
4,2,"7 Caram Place Birkenhead, Auckland",744,920000,-36.807162,174.7112039,7002670,36,15,30,21,21,3,Birkenhead
3,1,"5 Charlotte Street Stanmore Bay, Auckland",630,870000,-36.6246599,174.7297045,7001611,72,27,18,30,33,30,Stanmore Bay
3,1,"275 Puhinui Road Papatoetoe, Auckland",415,660000,-36.9913062,174.8484964,7009392,45,45,30,21,18,24,Papatoetoe
3,1,"1/25 Abraham Place St Johns, Auckland",93,850000,-36.8736688,174.8480004,7006441,36,27,42,21,6,15,Saint Johns
3,2,"35 Birkdale Road Birkdale, Auckland",804,1050000,-36.8046583,174.7047238,7002550,30,36,33,21,24,18,Birkdale
2,1,"51 Clarence Street Ponsonby, Auckland",323,1625000,-36.8481167,174.73943,7004881,39,33,27,33,33,21,Ponsonby
3,2,"3 Fallsbrook Lane Mangere Bridge, Auckland",810,1625000,-36.9469952,174.7786568,7007923,39,18,36,18,24,51,Mangere Bridge
3,2,"34 Parry Road Mount Wellington, Auckland",728,910000,-36.9332231,174.8467702,7008462,15,30,21,12,9,15,Mount Wellington
4,3,"8 Wawatai Drive Karaka, Auckland",580,1175000,-37.0800841,174.9260771,7010002,81,15,51,45,21,36,Karaka
2,2,"2/18 Cleary Road Panmure, Auckland",140,790000,-36.9011618,174.8510364,7006467,21,39,21,12,9,9,Panmure
3,2,"10 Belmont Place Warkworth, Auckland",606,830000,-36.3955453,174.6535508,7001213,51,15,27,27,21,30,Warkworth
6,4,"164 Wade River Road Arkles Bay, Auckland",325,1825000,-36.6418176,174.7328175,7001628,24,15,9,9,21,24,Wade Heads
4,1,"36 Ngapuhi Road Remuera, Auckland",175,1775000,-36.8768474,174.8147784,7006080,39,6,21,18,27,15,Remuera
4,2,"5 Gulliver Road Conifer Grove, Auckland",663,880000,-37.0465768,174.9117585,7009901,51,39,24,33,45,39,Conifer Grove
3,1,"117 Settlement Road Papakura, Auckland",422,520000,-37.0654435,174.9672078,7010237,99,33,27,33,18,24,Papakura
3,1,"14 Chantal Place Red Hill, Auckland",582,470000,-37.0661128,174.9674898,7010237,99,33,27,33,18,24,Red Hill
4,2,"104 Joseph Street Flat Bush, Auckland",292,800000,-36.9865204,174.9079425,7009107,36,48,36,9,6,0,Flat Bush
3,2,"73 Joseph Street Flat Bush, Auckland",144,420000,-36.9860731,174.9084137,7009107,36,48,36,9,6,0,Flat Bush
3,2,"278 Burtt Road Pukekohe, Auckland",310,1250000,-37.1463039,174.929007,7010364,27,6,18,9,15,24,Paerata
2,1,"43 Tautari Street Orakei, Auckland",849,2275000,-36.8569511,174.818547,7006050,42,15,21,27,21,39,Orakei
5,3,"45 Tautari Street Orakei, Auckland",1032,2625000,-36.8568781,174.8186995,7006050,42,15,21,27,21,39,Orakei
3,1,"2 Kilcar Place Massey, Auckland",446,560000,-36.8412486,174.6043601,7003521,48,30,27,27,21,21,Massey
4,1,"17 Albion Place Papakura, Auckland",951,680000,-37.0679354,174.9598568,7010199,87,48,27,21,33,18,Papakura
3,2,"71b Settlement Road Papakura, Auckland",571,670000,-37.066514,174.9580746,7010199,87,48,27,21,33,18,Papakura
5,3,"8 Della Place Conifer Grove, Auckland",877,1490000,-37.0516846,174.9061423,7009906,36,21,12,30,27,42,Conifer Grove
4,2,"67 Verran Road Birkenhead, Auckland",809,830000,-36.8046178,174.7120348,7002666,54,36,33,30,15,21,Birkenhead
7,2,"33 Haslett Street Eden Terrace, Auckland",333,1400000,-36.8661486,174.7537918,7005141,24,42,21,12,12,15,Eden Terrace
3,1,"120 Portage Road New Lynn, Auckland",1513,1005000,-36.92032,174.6919081,7007481,30,15,15,9,12,6,New Lynn
3,2,"5/16 Duncan Avenue Te Atatu South, Auckland",528,850000,-36.8770274,174.640536,7003976,27,18,21,12,6,18,Te Atatu South
3,1,"11 Tangaroa Street Point England, Auckland",636,1040000,-36.8901125,174.8659207,7006581,57,27,18,15,18,12,Point England
5,3,"10 Kouras Place Flat Bush, Auckland",417,1225000,-36.959775,174.9326109,7009292,39,12,21,21,15,3,Flat Bush
3,2,"2/34 Walpole Avenue Manurewa, Auckland",170,630000,-37.0146766,174.8984662,7009772,51,39,39,27,18,36,Manurewa
3,1,"4 Sally Crescent Mount Roskill, Auckland",658,990000,-36.9094537,174.7238505,7007592,45,45,24,30,18,39,Mount Roskill
4,2,"61 Otitori Bay Road Titirangi, Auckland",1573,825000,-36.9465931,174.6634799,7007342,48,9,15,33,18,21,Titirangi
9,4,"Glendowie  Auckland City  1071 Glendowie, Auckland",1843,2200000,-36.8603096,174.8693018,7006635,30,18,3,18,21,12,Glendowie
4,2,"9 Colchester Avenue Glendowie, Auckland",404,2050000,-36.8596209,174.8696361,7006635,30,18,3,18,21,12,Glendowie
2,1,"19 Gwilliam Place Freemans Bay, Auckland",176,1500000,-36.8506282,174.7506425,7005093,21,27,21,15,15,48,Freemans Bay
3,1,"23 Mountain Road Mount Wellington, Auckland",80,960000,-36.895639,174.8455024,7006461,27,12,27,24,18,15,Mount Wellington
4,2,"10 Willoughby Avenue Howick, Auckland",683,970000,-36.8976911,174.9135872,7006911,69,24,27,33,12,27,Howick
4,3,"64 Selman Road Dairy Flat, Auckland",380,2525000,-36.6374487,174.6341666,7001771,57,18,27,30,39,54,Dairy Flat
3,2,"4 Hilltop Street Remuera, Auckland",117,1220000,-36.8834323,174.8158046,7006097,63,30,42,39,24,30,Remuera
5,3,"60 Fernhill Way Albany, Auckland",555,1345000,-36.7233994,174.7200758,7001859,48,42,30,21,21,30,Oteha
4,3,"201b Jervois Road Herne Bay, Auckland",763,4700000,-36.8470899,174.7318972,7004701,45,24,15,30,33,39,Herne Bay
4,2,"8 Balmain Road Birkenhead, Auckland",230,1100000,-36.8118318,174.7101814,7004547,60,24,36,36,24,66,Chatswood
2,1,"37 Bluegrey Avenue Stonefields, Auckland",104,1020000,-36.8865576,174.8404341,7006346,27,42,24,21,18,27,Stonefields
3,1,"20 Zelda Avenue Clover Park, Auckland",600,630000,-36.9779202,174.8961056,7008964,63,36,24,27,24,30,Clover Park
3,2,"2/1255 Dominion Rd Ext Mount Roskill, Auckland",166,830000,-36.9209207,174.7357439,7007672,81,39,60,30,21,27,Mount Roskill
4,2,"10 Huahua Crescent Papakura, Auckland",519,470000,-37.0493856,174.9728908,7010211,123,99,93,39,39,18,Papakura
5,3,"22 Huahua Crescent Papakura, Auckland",528,470000,-37.0502164,174.9729363,7010211,123,99,93,39,39,18,Papakura
5,3,"77 Twin Parks Rise Papakura, Auckland",603,480000,-37.049918,174.9724182,7010211,123,99,93,39,39,18,Papakura
3,1,"41 Rathmar Drive Manurewa, Auckland",439,780000,-37.0149574,174.9150224,7009850,45,24,33,27,36,36,Manurewa
3,1,"8 Justamere Place Weymouth, Auckland",600,530000,-37.0425095,174.8673894,7009515,78,33,39,24,30,24,Weymouth
3,1,"8 Justamere Place Weymouth, Auckland",600,530000,-37.0425095,174.8673894,7009515,78,33,39,24,30,24,Weymouth
3,2,"129 Hobsonville Road West Harbour, Auckland",368,880000,-36.8152696,174.6288851,7003789,45,30,15,27,24,36,West Harbour
3,1,"92 Buckville Road Buckland, Auckland",1012,2112000,-37.2271956,174.938891,7010971,39,6,9,24,18,36,Buckland
4,4,"9 Darwin Lane Remuera, Auckland",2718,9000000,-36.871836,174.813689,7005974,27,12,6,18,18,36,Remuera
4,4,"9 Darwin Lane Remuera, Auckland",2718,9000000,-36.871836,174.813689,7005974,27,12,6,18,18,36,Remuera
4,2,"2/73 Speight Road St Heliers, Auckland",191,1825000,-36.8534844,174.8493027,7006399,48,24,21,30,27,36,St Heliers
2,2,"21 Skip Lane East Tamaki, Auckland",173,590000,-36.9433827,174.9015482,7008935,24,24,45,15,15,6,East Tamaki
3,1,"45 Richard Farrell Avenue Remuera, Auckland",1070,1875000,-36.8867682,174.8134448,7006010,48,15,27,27,12,30,Remuera
3,2,"279c Royal Road Massey, Auckland",586,830000,-36.8324006,174.6328539,7003938,84,36,36,42,27,30,Massey
4,2,"4 Yorkton Rise Mangere Bridge, Auckland",723,1460000,-36.9420311,174.7676723,7007837,27,9,9,21,15,30,Mangere Bridge
2,1,"8/42a Park Avenue Papatoetoe, Auckland",90,455000,-36.9763865,174.8391374,7008426,54,45,33,18,24,18,Papatoetoe
5,2,"1/54 Tirimoana Road Te Atatu South, Auckland",260,890000,-36.8843686,174.6504321,7004156,60,27,24,30,18,18,Te Atatu South
6,3,"38 Tirimoana Road Te Atatu South, Auckland",210,1000000,-36.8848921,174.6490515,7004156,60,27,24,30,18,18,Te Atatu South
3,2,"2/36 Tarawera Terrace St Heliers, Auckland",138,1220000,-36.861919,174.8521385,7006422,45,12,24,33,30,48,St Heliers
1,1,"29j Springs Road Helensville, Auckland",59,325000,-36.6574444,174.4331618,7001725,45,18,21,21,24,24,Parakai
4,2,"1 Beltrees Lane Pokeno, Auckland",846,610000,-37.0481046,174.860194,7009434,108,42,39,36,27,33,Weymouth
4,2,"32 Leicester Parade Somerville, Auckland",1047,1470000,-36.9188242,174.9314074,7009263,33,27,15,30,21,42,Somerville
5,3,"39c Rockfield Road Ellerslie, Auckland",375,1400000,-36.9044113,174.8042319,7006032,72,81,60,36,33,27,Ellerslie
3,2,"69 Rockfield Road, Auckland",474 m²,1250000,-36.9059587,174.8045209,7006032,72,81,60,36,33,27,Penrose
7,2,"10 Roys Road Weymouth, Auckland",2931,1600000,-37.0513811,174.861198,7009435,72,42,24,36,33,39,Weymouth
3,2,"16 Percy Winstone Lane Stonefields, Auckland",261,1240000,-36.8894305,174.8342189,7006345,66,48,54,33,39,39,Stonefields
3,2,"16 Percy Winstone Lane Stonefields, Auckland",261,1240000,-36.8894305,174.8342189,7006345,66,48,54,33,39,39,Stonefields
3,1,"3 Olsen Avenue Hillsborough, Auckland",462,860000,-36.921234,174.7544716,7007731,48,48,33,24,33,36,Hillsborough
5,3,"163 Orakei Road Remuera, Auckland",701,2450000,-36.8680962,174.8061183,7005969,45,24,15,27,36,33,Remuera
3,2,"13 Brinlack Drive Dannemora, Auckland",400,880000,-36.9383856,174.9099931,7009036,42,12,24,21,18,18,East Tamaki
4,2,"68 Tramway Road Beach Haven, Auckland",550,780000,-36.7916732,174.6900185,7002447,42,27,36,18,12,12,Beach Haven
5,2,"24 Moss Crescent Takanini, Auckland",650,950000,-37.0530507,174.9228935,7009985,27,27,18,27,36,45,Takanini
4,1,"5/10 Rathgar Road Henderson, Auckland",140,775000,-36.8690454,174.6197892,7003702,42,18,15,27,24,24,Henderson
3,2,"352l Kohimarama Road Kohimarama, Auckland",137,870000,-36.8669263,174.8451884,7006419,54,27,21,39,27,45,St Heliers
